state,parent_state,to_move,layer,P(X wins),P(X wins) difference,P(O wins),P(O wins) difference,P(draws),P(draws) difference
OXOXXOXOX,OXOXXOXO.,O,9,0.0,0.0,0.0,0.0,1.0,0.0
OXOXXOXO.,OXOXXOX..,X,8,0.0,0.0,0.0,-0.5,1.0,0.5
OXOXXOX.O,OXOXXOX..,X,8,0.0,0.0,1.0,0.5,0.0,-0.5
OXOXXOX..,OXOXXO...,O,7,0.0,-0.5,0.5,0.33333333330000003,0.5,0.16666666670000002
OXOXXO.X.,OXOXXO...,O,7,1.0,0.5,0.0,-0.1666666667,0.0,-0.3333333333
OXOXXOOXX,OXOXXOO.X,O,9,1.0,0.0,0.0,0.0,0.0,0.0
OXOXXOO.X,OXOXXO..X,X,8,1.0,0.5,0.0,0.0,0.0,-0.5
OXOXXO.OX,OXOXXO..X,X,8,0.0,-0.5,0.0,0.0,1.0,0.5
OXOXXO..X,OXOXXO...,O,7,0.5,0.0,0.0,-0.1666666667,0.5,0.16666666670000002
OXOXXO...,OXOXX....,X,6,0.5,-0.25,0.1666666667,0.08333333339999999,0.3333333333,0.16666666659999999
OXOXXXO..,OXOXX.O..,O,7,1.0,0.0,0.0,0.0,0.0,0.0
OXOXX.OX.,OXOXX.O..,O,7,1.0,0.0,0.0,0.0,0.0,0.0
OXOXXXOOX,OXOXX.OOX,O,9,1.0,0.0,0.0,0.0,0.0,0.0
OXOXX.OOX,OXOXX.O.X,X,8,1.0,0.0,0.0,0.0,0.0,0.0
OXOXX.O.X,OXOXX.O..,O,7,1.0,0.0,0.0,0.0,0.0,0.0
OXOXX.O..,OXOXX....,X,6,1.0,0.25,0.0,-0.0833333333,0.0,-0.1666666667
OXOXXX.O.,OXOXX..O.,O,7,1.0,0.33333333330000003,0.0,0.0,0.0,-0.3333333333
OXOXXXXOO,OXOXX.XOO,O,9,1.0,0.0,0.0,0.0,0.0,0.0
OXOXX.XOO,OXOXX.XO.,X,8,1.0,0.5,0.0,0.0,0.0,-0.5
OXOXX.XO.,OXOXX..O.,O,7,0.5,-0.16666666669999997,0.0,0.0,0.5,0.16666666670000002
OXOXX..OX,OXOXX..O.,O,7,0.5,-0.16666666669999997,0.0,0.0,0.5,0.16666666670000002
OXOXX..O.,OXOXX....,X,6,0.6666666667,-0.08333333330000003,0.0,-0.0833333333,0.3333333333,0.16666666659999999
OXOXXX..O,OXOXX...O,O,7,1.0,0.16666666669999997,0.0,-0.1666666667,0.0,0.0
OXOXX.X.O,OXOXX...O,O,7,0.5,-0.33333333330000003,0.5,0.33333333330000003,0.0,0.0
OXOXX..XO,OXOXX...O,O,7,1.0,0.16666666669999997,0.0,-0.1666666667,0.0,0.0
OXOXX...O,OXOXX....,X,6,0.8333333333,0.08333333330000003,0.1666666667,0.08333333339999999,0.0,-0.1666666667
OXOXX....,OXOX.....,O,5,0.75,0.2166666667,0.0833333333,-0.1833333334,0.1666666667,-0.03333333330000002
OXOXOXXOX,OXOXOXXO.,O,9,0.0,0.0,0.0,0.0,1.0,0.0
OXOXOXXO.,OXOXOXX..,X,8,0.0,0.0,0.0,-0.5,1.0,0.5
OXOXOXX.O,OXOXOXX..,X,8,0.0,0.0,1.0,0.5,0.0,-0.5
OXOXOXX..,OXOXOX...,O,7,0.0,0.0,0.5,-0.16666666669999997,0.5,0.16666666670000002
OXOXOXOX.,OXOXOX.X.,X,8,0.0,0.0,1.0,0.0,0.0,0.0
OXOXOX.XO,OXOXOX.X.,X,8,0.0,0.0,1.0,0.0,0.0,0.0
OXOXOX.X.,OXOXOX...,O,7,0.0,0.0,1.0,0.33333333330000003,0.0,-0.3333333333
OXOXOXO.X,OXOXOX..X,X,8,0.0,0.0,1.0,0.5,0.0,-0.5
OXOXOX.OX,OXOXOX..X,X,8,0.0,0.0,0.0,-0.5,1.0,0.5
OXOXOX..X,OXOXOX...,O,7,0.0,0.0,0.5,-0.16666666669999997,0.5,0.16666666670000002
OXOXOX...,OXOX.X...,X,6,0.0,-0.5,0.6666666667,0.3333333334,0.3333333333,0.16666666659999999
