state,parent_state,to_move,layer,P(X wins),P(O wins),P(draws)
OXOXOXO.X,OXOXOX..X,X,8,0.0000000000,1.0000000000,0.0000000000
OXOXOXXOX,OXOXOX.OX,O,9,0.0000000000,0.0000000000,1.0000000000
OXOXOX.OX,OXOXOX..X,X,8,0.0000000000,0.0000000000,1.0000000000
OXOXOX..X,OXOXO...X,O,7,0.0000000000,0.5000000000,0.5000000000
OXOXOOXXX,OXOXOOX.X,O,9,1.0000000000,0.0000000000,0.0000000000
OXOXOOX.X,OXOXO.X.X,X,8,1.0000000000,0.0000000000,0.0000000000
OXOXO.XOX,OXOXO.X.X,X,8,0.0000000000,0.0000000000,1.0000000000
OXOXO.X.X,OXOXO...X,O,7,0.5000000000,0.0000000000,0.5000000000
OXOXOO.XX,OXOXO..XX,X,8,1.0000000000,0.0000000000,0.0000000000
OXOXO.OXX,OXOXO..XX,X,8,0.0000000000,1.0000000000,0.0000000000
OXOXO..XX,OXOXO...X,O,7,0.5000000000,0.5000000000,0.0000000000
OXOXO...X,OXOX....X,X,6,0.3333333333,0.3333333333,0.3333333333
OXOXXOOXX,OXOXXOO.X,O,9,1.0000000000,0.0000000000,0.0000000000
OXOXXOO.X,OXOXXO..X,X,8,1.0000000000,0.0000000000,0.0000000000
OXOXXOXOX,OXOXXO.OX,O,9,0.0000000000,0.0000000000,1.0000000000
OXOXXO.OX,OXOXXO..X,X,8,0.0000000000,0.0000000000,1.0000000000
OXOXXO..X,OXOX.O..X,O,7,0.5000000000,0.0000000000,0.5000000000
OXOX.OXOX,OXOX.OX.X,X,8,0.0000000000,0.0000000000,1.0000000000
OXOX.OX.X,OXOX.O..X,O,7,0.5000000000,0.0000000000,0.5000000000
OXOX.OOXX,OXOX.O.XX,X,8,1.0000000000,0.0000000000,0.0000000000
OXOX.O.XX,OXOX.O..X,O,7,1.0000000000,0.0000000000,0.0000000000
OXOX.O..X,OXOX....X,X,6,0.6666666667,0.0000000000,0.3333333333
OXOXXXOOX,OXOXX.OOX,O,9,1.0000000000,0.0000000000,0.0000000000
OXOXX.OOX,OXOXX.O.X,X,8,1.0000000000,0.0000000000,0.0000000000
OXOXX.O.X,OXOX..O.X,O,7,1.0000000000,0.0000000000,0.0000000000
OXOX.XOOX,OXOX.XO.X,X,8,1.0000000000,0.0000000000,0.0000000000
OXOX.XO.X,OXOX..O.X,O,7,0.5000000000,0.5000000000,0.0000000000
OXOX..OXX,OXOX..O.X,O,7,0.5000000000,0.5000000000,0.0000000000
OXOX..O.X,OXOX....X,X,6,0.6666666667,0.3333333333,0.0000000000
OXOXX..OX,OXOX...OX,O,7,0.5000000000,0.0000000000,0.5000000000
OXOX.X.OX,OXOX...OX,O,7,0.5000000000,0.0000000000,0.5000000000
OXOX..XOX,OXOX...OX,O,7,0.0000000000,0.0000000000,1.0000000000
OXOX...OX,OXOX....X,X,6,0.3333333333,0.0000000000,0.6666666667
OXOX....X,OXO.....X,O,5,0.5000000000,0.1666666667,0.3333333333
OXOOXXO.X,OXOOXX..X,X,8,0.0000000000,1.0000000000,0.0000000000
OXOOXXXOX,OXOOXX.OX,O,9,0.0000000000,0.0000000000,1.0000000000
OXOOXX.OX,OXOOXX..X,X,8,0.0000000000,0.0000000000,1.0000000000
OXOOXX..X,OXOOX...X,O,7,0.0000000000,0.5000000000,0.5000000000
OXOOXOXXX,OXOOXOX.X,O,9,1.0000000000,0.0000000000,0.0000000000
OXOOXOX.X,OXOOX.X.X,X,8,1.0000000000,0.0000000000,0.0000000000
OXOOX.XOX,OXOOX.X.X,X,8,0.0000000000,0.0000000000,1.0000000000
OXOOX.X.X,OXOOX...X,O,7,0.5000000000,0.0000000000,0.5000000000
OXOOX..XX,OXOOX...X,O,7,1.0000000000,0.0000000000,0.0000000000
OXOOX...X,OXO.X...X,X,6,0.5000000000,0.1666666667,0.3333333333
OXO.XOXOX,OXO.XOX.X,X,8,0.0000000000,0.0000000000,1.0000000000
OXO.XOX.X,OXO.XO..X,O,7,0.5000000000,0.0000000000,0.5000000000
OXO.XO.XX,OXO.XO..X,O,7,1.0000000000,0.0000000000,0.0000000000
OXO.XO..X,OXO.X...X,X,6,0.6666666667,0.0000000000,0.3333333333
OXO.XXOOX,OXO.XXO.X,X,8,1.0000000000,0.0000000000,0.0000000000
OXO.XXO.X,OXO.X.O.X,O,7,0.5000000000,0.5000000000,0.0000000000
OXO.X.OXX,OXO.X.O.X,O,7,1.0000000000,0.0000000000,0.0000000000
OXO.X.O.X,OXO.X...X,X,6,0.8333333333,0.1666666667,0.0000000000
OXO.XX.OX,OXO.X..OX,O,7,0.5000000000,0.0000000000,0.5000000000
OXO.X.XOX,OXO.X..OX,O,7,0.0000000000,0.0000000000,1.0000000000
OXO.X..OX,OXO.X...X,X,6,0.3333333333,0.0000000000,0.6666666667
OXO.X...X,OXO.....X,O,5,0.5833333333,0.0833333333,0.3333333333
OXOOOXXXX,OXOOOXX.X,O,9,1.0000000000,0.0000000000,0.0000000000
OXOOOXX.X,OXOO.XX.X,X,8,1.0000000000,0.0000000000,0.0000000000
OXOO.XXOX,OXOO.XX.X,X,8,0.0000000000,0.0000000000,1.0000000000
OXOO.XX.X,OXOO.X..X,O,7,0.5000000000,0.0000000000,0.5000000000
OXOOOX.XX,OXOO.X.XX,X,8,1.0000000000,0.0000000000,0.0000000000
OXOO.XOXX,OXOO.X.XX,X,8,0.0000000000,1.0000000000,0.0000000000
OXOO.X.XX,OXOO.X..X,O,7,0.5000000000,0.5000000000,0.0000000000
OXOO.X..X,OXO..X..X,X,6,0.3333333333,0.3333333333,0.3333333333
OXO.OXXOX,OXO.OXX.X,X,8,0.0000000000,0.0000000000,1.0000000000
OXO.OXX.X,OXO.OX..X,O,7,0.5000000000,0.0000000000,0.5000000000
OXO.OXOXX,OXO.OX.XX,X,8,0.0000000000,1.0000000000,0.0000000000
OXO.OX.XX,OXO.OX..X,O,7,0.5000000000,0.5000000000,0.0000000000
OXO.OX..X,OXO..X..X,X,6,0.3333333333,0.3333333333,0.3333333333
OXO..XOXX,OXO..XO.X,O,7,0.0000000000,1.0000000000,0.0000000000
OXO..XO.X,OXO..X..X,X,6,0.3333333333,0.6666666667,0.0000000000
OXO..XXOX,OXO..X.OX,O,7,0.0000000000,0.0000000000,1.0000000000
OXO..X.OX,OXO..X..X,X,6,0.3333333333,0.0000000000,0.6666666667
OXO..X..X,OXO.....X,O,5,0.3333333333,0.3333333333,0.3333333333
OXOO..XXX,OXOO..X.X,O,7,1.0000000000,0.0000000000,0.0000000000
OXOO..X.X,OXO...X.X,X,6,0.6666666667,0.0000000000,0.3333333333
OXO.O.XXX,OXO.O.X.X,O,7,1.0000000000,0.0000000000,0.0000000000
OXO.O.X.X,OXO...X.X,X,6,0.6666666667,0.0000000000,0.3333333333
OXO..OXXX,OXO..OX.X,O,7,1.0000000000,0.0000000000,0.0000000000
OXO..OX.X,OXO...X.X,X,6,0.6666666667,0.0000000000,0.3333333333
OXO...XOX,OXO...X.X,X,6,0.0000000000,0.0000000000,1.0000000000
OXO...X.X,OXO.....X,O,5,0.5000000000,0.0000000000,0.5000000000
OXOO...XX,OXO....XX,X,6,0.8333333333,0.1666666667,0.0000000000
OXO.O..XX,OXO....XX,X,6,0.6666666667,0.3333333333,0.0000000000
OXO..O.XX,OXO....XX,X,6,1.0000000000,0.0000000000,0.0000000000
OXO...OXX,OXO....XX,X,6,0.5000000000,0.5000000000,0.0000000000
OXO....XX,OXO.....X,O,5,0.7500000000,0.2500000000,0.0000000000
OXO.....X,OX......X,X,4,0.5333333333,0.1666666667,0.3000000000
