state,parent_state,to_move,layer,P(X wins),P(O wins),P(draws)
OXOXOXXOX,OXOXOXXO.,O,9,0.0000000000,0.0000000000,1.0000000000
OXOXOXXO.,OXOXOXX..,X,8,0.0000000000,0.0000000000,1.0000000000
OXOXOXX.O,OXOXOXX..,X,8,0.0000000000,1.0000000000,0.0000000000
OXOXOXX..,OXOXOX...,O,7,0.0000000000,0.5000000000,0.5000000000
OXOXOXOX.,OXOXOX.X.,X,8,0.0000000000,1.0000000000,0.0000000000
OXOXOX.XO,OXOXOX.X.,X,8,0.0000000000,1.0000000000,0.0000000000
OXOXOX.X.,OXOXOX...,O,7,0.0000000000,1.0000000000,0.0000000000
OXOXOXO.X,OXOXOX..X,X,8,0.0000000000,1.0000000000,0.0000000000
OXOXOX.OX,OXOXOX..X,X,8,0.0000000000,0.0000000000,1.0000000000
OXOXOX..X,OXOXOX...,O,7,0.0000000000,0.5000000000,0.5000000000
OXOXOX...,OXOX.X...,X,6,0.0000000000,0.6666666667,0.3333333333
OXOXXXO..,OXOX.XO..,O,7,1.0000000000,0.0000000000,0.0000000000
OXOXXXOXO,OXOX.XOXO,O,9,1.0000000000,0.0000000000,0.0000000000
OXOX.XOXO,OXOX.XOX.,X,8,1.0000000000,0.0000000000,0.0000000000
OXOX.XOX.,OXOX.XO..,O,7,0.5000000000,0.5000000000,0.0000000000
OXOXXXOOX,OXOX.XOOX,O,9,1.0000000000,0.0000000000,0.0000000000
OXOX.XOOX,OXOX.XO.X,X,8,1.0000000000,0.0000000000,0.0000000000
OXOX.XO.X,OXOX.XO..,O,7,0.5000000000,0.5000000000,0.0000000000
OXOX.XO..,OXOX.X...,X,6,0.6666666667,0.3333333333,0.0000000000
OXOXXX.O.,OXOX.X.O.,O,7,1.0000000000,0.0000000000,0.0000000000
OXOXXXXOO,OXOX.XXOO,O,9,1.0000000000,0.0000000000,0.0000000000
OXOX.XXOO,OXOX.XXO.,X,8,1.0000000000,0.0000000000,0.0000000000
OXOX.XXO.,OXOX.X.O.,O,7,0.5000000000,0.0000000000,0.5000000000
OXOX.X.OX,OXOX.X.O.,O,7,0.5000000000,0.0000000000,0.5000000000
OXOX.X.O.,OXOX.X...,X,6,0.6666666667,0.0000000000,0.3333333333
OXOXXX..O,OXOX.X..O,O,7,1.0000000000,0.0000000000,0.0000000000
OXOX.XX.O,OXOX.X..O,O,7,0.5000000000,0.5000000000,0.0000000000
OXOX.X.XO,OXOX.X..O,O,7,0.5000000000,0.5000000000,0.0000000000
OXOX.X..O,OXOX.X...,X,6,0.6666666667,0.3333333333,0.0000000000
OXOX.X...,OXO..X...,O,5,0.5000000000,0.3333333333,0.1666666667
OXOOXXXOX,OXOOXXXO.,O,9,0.0000000000,0.0000000000,1.0000000000
OXOOXXXO.,OXOOXXX..,X,8,0.0000000000,0.0000000000,1.0000000000
OXOOXXXXO,OXOOXXX.O,O,9,1.0000000000,0.0000000000,0.0000000000
OXOOXXX.O,OXOOXXX..,X,8,1.0000000000,0.0000000000,0.0000000000
OXOOXXX..,OXOOXX...,O,7,0.5000000000,0.0000000000,0.5000000000
OXOOXX.X.,OXOOXX...,O,7,1.0000000000,0.0000000000,0.0000000000
OXOOXXO.X,OXOOXX..X,X,8,0.0000000000,1.0000000000,0.0000000000
OXOOXX.OX,OXOOXX..X,X,8,0.0000000000,0.0000000000,1.0000000000
OXOOXX..X,OXOOXX...,O,7,0.0000000000,0.5000000000,0.5000000000
OXOOXX...,OXO.XX...,X,6,0.5000000000,0.1666666667,0.3333333333
OXO.XXOX.,OXO.XXO..,O,7,1.0000000000,0.0000000000,0.0000000000
OXO.XXOOX,OXO.XXO.X,X,8,1.0000000000,0.0000000000,0.0000000000
OXO.XXO.X,OXO.XXO..,O,7,0.5000000000,0.5000000000,0.0000000000
OXO.XXO..,OXO.XX...,X,6,0.8333333333,0.1666666667,0.0000000000
OXO.XXXOO,OXO.XXXO.,X,8,1.0000000000,0.0000000000,0.0000000000
OXO.XXXO.,OXO.XX.O.,O,7,0.5000000000,0.0000000000,0.5000000000
OXO.XX.OX,OXO.XX.O.,O,7,0.5000000000,0.0000000000,0.5000000000
OXO.XX.O.,OXO.XX...,X,6,0.6666666667,0.0000000000,0.3333333333
OXO.XXX.O,OXO.XX..O,O,7,1.0000000000,0.0000000000,0.0000000000
OXO.XX.XO,OXO.XX..O,O,7,1.0000000000,0.0000000000,0.0000000000
OXO.XX..O,OXO.XX...,X,6,1.0000000000,0.0000000000,0.0000000000
OXO.XX...,OXO..X...,O,5,0.7500000000,0.0833333333,0.1666666667
OXOOOXXXX,OXOOOXXX.,O,9,1.0000000000,0.0000000000,0.0000000000
OXOOOXXX.,OXOO.XXX.,X,8,1.0000000000,0.0000000000,0.0000000000
OXOO.XXXO,OXOO.XXX.,X,8,1.0000000000,0.0000000000,0.0000000000
OXOO.XXX.,OXOO.XX..,O,7,1.0000000000,0.0000000000,0.0000000000
OXOOOXX.X,OXOO.XX.X,X,8,1.0000000000,0.0000000000,0.0000000000
OXOO.XXOX,OXOO.XX.X,X,8,0.0000000000,0.0000000000,1.0000000000
OXOO.XX.X,OXOO.XX..,O,7,0.5000000000,0.0000000000,0.5000000000
OXOO.XX..,OXO..XX..,X,6,0.6666666667,0.0000000000,0.3333333333
OXO.OXXXO,OXO.OXXX.,X,8,0.0000000000,1.0000000000,0.0000000000
OXO.OXXX.,OXO.OXX..,O,7,0.5000000000,0.5000000000,0.0000000000
OXO.OXXOX,OXO.OXX.X,X,8,0.0000000000,0.0000000000,1.0000000000
OXO.OXX.X,OXO.OXX..,O,7,0.5000000000,0.0000000000,0.5000000000
OXO.OXX..,OXO..XX..,X,6,0.3333333333,0.3333333333,0.3333333333
OXO..XXOX,OXO..XXO.,O,7,0.0000000000,0.0000000000,1.0000000000
OXO..XXO.,OXO..XX..,X,6,0.3333333333,0.0000000000,0.6666666667
OXO..XXXO,OXO..XX.O,O,7,0.5000000000,0.5000000000,0.0000000000
OXO..XX.O,OXO..XX..,X,6,0.6666666667,0.3333333333,0.0000000000
OXO..XX..,OXO..X...,O,5,0.5000000000,0.1666666667,0.3333333333
OXOOOX.XX,OXOO.X.XX,X,8,1.0000000000,0.0000000000,0.0000000000
OXOO.XOXX,OXOO.X.XX,X,8,0.0000000000,1.0000000000,0.0000000000
OXOO.X.XX,OXOO.X.X.,O,7,0.5000000000,0.5000000000,0.0000000000
OXOO.X.X.,OXO..X.X.,X,6,0.8333333333,0.1666666667,0.0000000000
OXO.OXOXX,OXO.OX.XX,X,8,0.0000000000,1.0000000000,0.0000000000
OXO.OX.XX,OXO.OX.X.,O,7,0.5000000000,0.5000000000,0.0000000000
OXO.OX.X.,OXO..X.X.,X,6,0.3333333333,0.6666666667,0.0000000000
OXO..XOXX,OXO..XOX.,O,7,0.0000000000,1.0000000000,0.0000000000
OXO..XOX.,OXO..X.X.,X,6,0.5000000000,0.5000000000,0.0000000000
OXO..X.XO,OXO..X.X.,X,6,0.6666666667,0.3333333333,0.0000000000
OXO..X.X.,OXO..X...,O,5,0.5833333333,0.4166666667,0.0000000000
OXOO.X..X,OXO..X..X,X,6,0.3333333333,0.3333333333,0.3333333333
OXO.OX..X,OXO..X..X,X,6,0.3333333333,0.3333333333,0.3333333333
OXO..XO.X,OXO..X..X,X,6,0.3333333333,0.6666666667,0.0000000000
OXO..X.OX,OXO..X..X,X,6,0.3333333333,0.0000000000,0.6666666667
OXO..X..X,OXO..X...,O,5,0.3333333333,0.3333333333,0.3333333333
OXO..X...,OX...X...,X,4,0.5333333333,0.2666666667,0.2000000000
OXXOOXXOX,OXXOOXXO.,O,9,1.0000000000,0.0000000000,0.0000000000
OXXOOXXO.,OXXOOXX..,X,8,1.0000000000,0.0000000000,0.0000000000
OXXOOXX.O,OXXOOXX..,X,8,0.0000000000,1.0000000000,0.0000000000
OXXOOXX..,OXXOOX...,O,7,0.5000000000,0.5000000000,0.0000000000
OXXOOXOX.,OXXOOX.X.,X,8,0.0000000000,1.0000000000,0.0000000000
OXXOOX.XO,OXXOOX.X.,X,8,0.0000000000,1.0000000000,0.0000000000
OXXOOX.X.,OXXOOX...,O,7,0.0000000000,1.0000000000,0.0000000000
OXXOOX..X,OXXOOX...,O,7,1.0000000000,0.0000000000,0.0000000000
OXXOOX...,OXXO.X...,X,6,0.5000000000,0.5000000000,0.0000000000
OXXO.XO..,OXXO.X...,X,6,0.0000000000,1.0000000000,0.0000000000
OXXOXXOO.,OXXOXX.O.,X,8,0.0000000000,1.0000000000,0.0000000000
OXXOXXXOO,OXXOXX.OO,O,9,1.0000000000,0.0000000000,0.0000000000
OXXOXX.OO,OXXOXX.O.,X,8,1.0000000000,0.0000000000,0.0000000000
OXXOXX.O.,OXXO.X.O.,O,7,0.5000000000,0.5000000000,0.0000000000
OXXO.XXOO,OXXO.XXO.,X,8,1.0000000000,0.0000000000,0.0000000000
OXXO.XXO.,OXXO.X.O.,O,7,1.0000000000,0.0000000000,0.0000000000
OXXO.X.OX,OXXO.X.O.,O,7,1.0000000000,0.0000000000,0.0000000000
OXXO.X.O.,OXXO.X...,X,6,0.8333333333,0.1666666667,0.0000000000
OXXOXXO.O,OXXOXX..O,X,8,0.0000000000,1.0000000000,0.0000000000
OXXOXX..O,OXXO.X..O,O,7,0.5000000000,0.5000000000,0.0000000000
OXXO.XX.O,OXXO.X..O,O,7,0.5000000000,0.5000000000,0.0000000000
OXXO.XOXO,OXXO.X.XO,X,8,0.0000000000,1.0000000000,0.0000000000
OXXO.X.XO,OXXO.X..O,O,7,0.0000000000,1.0000000000,0.0000000000
OXXO.X..O,OXXO.X...,X,6,0.3333333333,0.6666666667,0.0000000000
OXXO.X...,OX.O.X...,O,5,0.4166666667,0.5833333333,0.0000000000
OX.OXXO..,OX.OXX...,X,6,0.0000000000,1.0000000000,0.0000000000
OX.OXXXOO,OX.OXXXO.,X,8,1.0000000000,0.0000000000,0.0000000000
OX.OXXXO.,OX.OXX.O.,O,7,0.5000000000,0.0000000000,0.5000000000
OX.OXXOOX,OX.OXX.OX,X,8,0.0000000000,1.0000000000,0.0000000000
OX.OXX.OX,OX.OXX.O.,O,7,0.0000000000,0.5000000000,0.5000000000
OX.OXX.O.,OX.OXX...,X,6,0.3333333333,0.3333333333,0.3333333333
OX.OXXX.O,OX.OXX..O,O,7,1.0000000000,0.0000000000,0.0000000000
OX.OXX.XO,OX.OXX..O,O,7,1.0000000000,0.0000000000,0.0000000000
OX.OXX..O,OX.OXX...,X,6,0.8333333333,0.1666666667,0.0000000000
OX.OXX...,OX.O.X...,O,5,0.4166666667,0.4166666667,0.1666666667
OX.OOXXXO,OX.OOXXX.,X,8,0.0000000000,1.0000000000,0.0000000000
OX.OOXXX.,OX.OOXX..,O,7,0.5000000000,0.5000000000,0.0000000000
OX.OOXXOX,OX.OOXX.X,X,8,1.0000000000,0.0000000000,0.0000000000
OX.OOXX.X,OX.OOXX..,O,7,1.0000000000,0.0000000000,0.0000000000
OX.OOXX..,OX.O.XX..,X,6,0.6666666667,0.3333333333,0.0000000000
OX.O.XXOX,OX.O.XXO.,O,7,0.5000000000,0.0000000000,0.5000000000
OX.O.XXO.,OX.O.XX..,X,6,0.6666666667,0.0000000000,0.3333333333
OX.O.XXXO,OX.O.XX.O,O,7,0.5000000000,0.5000000000,0.0000000000
OX.O.XX.O,OX.O.XX..,X,6,0.6666666667,0.3333333333,0.0000000000
OX.O.XX..,OX.O.X...,O,5,0.6666666667,0.1666666667,0.1666666667
OX.OOXOXX,OX.OOX.XX,X,8,0.0000000000,1.0000000000,0.0000000000
OX.OOX.XX,OX.OOX.X.,O,7,0.5000000000,0.5000000000,0.0000000000
OX.OOX.X.,OX.O.X.X.,X,6,0.3333333333,0.6666666667,0.0000000000
OX.O.XOX.,OX.O.X.X.,X,6,0.0000000000,1.0000000000,0.0000000000
OX.O.X.XO,OX.O.X.X.,X,6,0.5000000000,0.5000000000,0.0000000000
OX.O.X.X.,OX.O.X...,O,5,0.4166666667,0.5833333333,0.0000000000
OX.OOX..X,OX.O.X..X,X,6,0.8333333333,0.1666666667,0.0000000000
OX.O.XO.X,OX.O.X..X,X,6,0.0000000000,1.0000000000,0.0000000000
OX.O.X.OX,OX.O.X..X,X,6,0.5000000000,0.1666666667,0.3333333333
OX.O.X..X,OX.O.X...,O,5,0.4166666667,0.4166666667,0.1666666667
OX.O.X...,OX...X...,X,4,0.4666666667,0.4333333333,0.1000000000
OXXXOXOOX,OXXXOXOO.,O,9,1.0000000000,0.0000000000,0.0000000000
OXXXOXOO.,OXXXOXO..,X,8,1.0000000000,0.0000000000,0.0000000000
OXXXOXO.O,OXXXOXO..,X,8,0.0000000000,1.0000000000,0.0000000000
OXXXOXO..,OXX.OXO..,O,7,0.5000000000,0.5000000000,0.0000000000
OXX.OXOXO,OXX.OXOX.,X,8,0.0000000000,1.0000000000,0.0000000000
OXX.OXOX.,OXX.OXO..,O,7,0.0000000000,1.0000000000,0.0000000000
OXX.OXO.X,OXX.OXO..,O,7,1.0000000000,0.0000000000,0.0000000000
OXX.OXO..,OXX.OX...,X,6,0.5000000000,0.5000000000,0.0000000000
OXXXOX.OO,OXXXOX.O.,X,8,0.0000000000,1.0000000000,0.0000000000
OXXXOX.O.,OXX.OX.O.,O,7,0.5000000000,0.5000000000,0.0000000000
OXX.OXXOO,OXX.OXXO.,X,8,0.0000000000,1.0000000000,0.0000000000
OXX.OXXO.,OXX.OX.O.,O,7,0.5000000000,0.5000000000,0.0000000000
OXX.OX.OX,OXX.OX.O.,O,7,1.0000000000,0.0000000000,0.0000000000
OXX.OX.O.,OXX.OX...,X,6,0.6666666667,0.3333333333,0.0000000000
OXX.OX..O,OXX.OX...,X,6,0.0000000000,1.0000000000,0.0000000000
OXX.OX...,OX..OX...,O,5,0.4166666667,0.5833333333,0.0000000000
OX.XOXOXO,OX.XOXOX.,X,8,0.0000000000,1.0000000000,0.0000000000
OX.XOXOX.,OX.XOXO..,O,7,0.0000000000,1.0000000000,0.0000000000
OX.XOXOOX,OX.XOXO.X,X,8,1.0000000000,0.0000000000,0.0000000000
OX.XOXO.X,OX.XOXO..,O,7,0.5000000000,0.5000000000,0.0000000000
OX.XOXO..,OX.XOX...,X,6,0.3333333333,0.6666666667,0.0000000000
OX.XOXXOO,OX.XOXXO.,X,8,0.0000000000,1.0000000000,0.0000000000
OX.XOXXO.,OX.XOX.O.,O,7,0.0000000000,0.5000000000,0.5000000000
OX.XOX.OX,OX.XOX.O.,O,7,0.5000000000,0.0000000000,0.5000000000
OX.XOX.O.,OX.XOX...,X,6,0.3333333333,0.3333333333,0.3333333333
OX.XOX..O,OX.XOX...,X,6,0.0000000000,1.0000000000,0.0000000000
OX.XOX...,OX..OX...,O,5,0.1666666667,0.6666666667,0.1666666667
OX..OXXOX,OX..OXXO.,O,7,0.5000000000,0.0000000000,0.5000000000
OX..OXXO.,OX..OXX..,X,6,0.3333333333,0.3333333333,0.3333333333
OX..OXX.O,OX..OXX..,X,6,0.0000000000,1.0000000000,0.0000000000
OX..OXX..,OX..OX...,O,5,0.3333333333,0.5000000000,0.1666666667
OX..OXOXX,OX..OXOX.,O,7,0.0000000000,1.0000000000,0.0000000000
OX..OXOX.,OX..OX.X.,X,6,0.0000000000,1.0000000000,0.0000000000
OX..OX.XO,OX..OX.X.,X,6,0.0000000000,1.0000000000,0.0000000000
OX..OX.X.,OX..OX...,O,5,0.1666666667,0.8333333333,0.0000000000
OX..OXO.X,OX..OX..X,X,6,0.5000000000,0.5000000000,0.0000000000
OX..OX.OX,OX..OX..X,X,6,0.6666666667,0.0000000000,0.3333333333
OX..OX..X,OX..OX...,O,5,0.5833333333,0.2500000000,0.1666666667
OX..OX...,OX...X...,X,4,0.3333333333,0.5666666667,0.1000000000
OXXX.XOOO,OXXX.XOO.,X,8,0.0000000000,1.0000000000,0.0000000000
OXXX.XOO.,OXX..XOO.,O,7,0.5000000000,0.5000000000,0.0000000000
OXX.XXOOO,OXX.XXOO.,X,8,0.0000000000,1.0000000000,0.0000000000
OXX.XXOO.,OXX..XOO.,O,7,0.0000000000,1.0000000000,0.0000000000
OXX..XOOX,OXX..XOO.,O,7,1.0000000000,0.0000000000,0.0000000000
OXX..XOO.,OXX..XO..,X,6,0.5000000000,0.5000000000,0.0000000000
