state,parent_state,to_move,layer,P(X wins),P(O wins),P(draws)
OXOXOXXOX,OXOXOXXO.,O,9,0.0000000000,0.0000000000,1.0000000000
OXOXOXXO.,OXOXOXX..,X,8,0.0000000000,0.0000000000,1.0000000000
OXOXOXX.O,OXOXOXX..,X,8,0.0000000000,1.0000000000,0.0000000000
OXOXOXX..,OXOXO.X..,O,7,0.0000000000,0.5000000000,0.5000000000
OXOXOOXXX,OXOXOOXX.,O,9,1.0000000000,0.0000000000,0.0000000000
OXOXOOXX.,OXOXO.XX.,X,8,1.0000000000,0.0000000000,0.0000000000
OXOXO.XXO,OXOXO.XX.,X,8,0.0000000000,1.0000000000,0.0000000000
OXOXO.XX.,OXOXO.X..,O,7,0.5000000000,0.5000000000,0.0000000000
OXOXOOX.X,OXOXO.X.X,X,8,1.0000000000,0.0000000000,0.0000000000
OXOXO.XOX,OXOXO.X.X,X,8,0.0000000000,0.0000000000,1.0000000000
OXOXO.X.X,OXOXO.X..,O,7,0.5000000000,0.0000000000,0.5000000000
OXOXO.X..,OXOX..X..,X,6,0.3333333333,0.3333333333,0.3333333333
OXOXXOXOX,OXOXXOXO.,O,9,0.0000000000,0.0000000000,1.0000000000
OXOXXOXO.,OXOXXOX..,X,8,0.0000000000,0.0000000000,1.0000000000
OXOXXOX.O,OXOXXOX..,X,8,0.0000000000,1.0000000000,0.0000000000
OXOXXOX..,OXOX.OX..,O,7,0.0000000000,0.5000000000,0.5000000000
OXOX.OXXO,OXOX.OXX.,X,8,0.0000000000,1.0000000000,0.0000000000
OXOX.OXX.,OXOX.OX..,O,7,0.5000000000,0.5000000000,0.0000000000
OXOX.OXOX,OXOX.OX.X,X,8,0.0000000000,0.0000000000,1.0000000000
OXOX.OX.X,OXOX.OX..,O,7,0.5000000000,0.0000000000,0.5000000000
OXOX.OX..,OXOX..X..,X,6,0.3333333333,0.3333333333,0.3333333333
OXOXXXXOO,OXOXX.XOO,O,9,1.0000000000,0.0000000000,0.0000000000
OXOXX.XOO,OXOXX.XO.,X,8,1.0000000000,0.0000000000,0.0000000000
OXOXX.XO.,OXOX..XO.,O,7,0.5000000000,0.0000000000,0.5000000000
OXOX.XXOO,OXOX.XXO.,X,8,1.0000000000,0.0000000000,0.0000000000
OXOX.XXO.,OXOX..XO.,O,7,0.5000000000,0.0000000000,0.5000000000
OXOX..XOX,OXOX..XO.,O,7,0.0000000000,0.0000000000,1.0000000000
OXOX..XO.,OXOX..X..,X,6,0.3333333333,0.0000000000,0.6666666667
OXOXX.X.O,OXOX..X.O,O,7,0.5000000000,0.5000000000,0.0000000000
OXOX.XX.O,OXOX..X.O,O,7,0.5000000000,0.5000000000,0.0000000000
OXOX..XXO,OXOX..X.O,O,7,0.0000000000,1.0000000000,0.0000000000
OXOX..X.O,OXOX..X..,X,6,0.3333333333,0.6666666667,0.0000000000
OXOX..X..,OXO...X..,O,5,0.3333333333,0.3333333333,0.3333333333
OXOOXXXOX,OXOOXXXO.,O,9,0.0000000000,0.0000000000,1.0000000000
OXOOXXXO.,OXOOXXX..,X,8,0.0000000000,0.0000000000,1.0000000000
OXOOXXXXO,OXOOXXX.O,O,9,1.0000000000,0.0000000000,0.0000000000
OXOOXXX.O,OXOOXXX..,X,8,1.0000000000,0.0000000000,0.0000000000
OXOOXXX..,OXOOX.X..,O,7,0.5000000000,0.0000000000,0.5000000000
OXOOX.XX.,OXOOX.X..,O,7,1.0000000000,0.0000000000,0.0000000000
OXOOXOXXX,OXOOXOX.X,O,9,1.0000000000,0.0000000000,0.0000000000
OXOOXOX.X,OXOOX.X.X,X,8,1.0000000000,0.0000000000,0.0000000000
OXOOX.XOX,OXOOX.X.X,X,8,0.0000000000,0.0000000000,1.0000000000
OXOOX.X.X,OXOOX.X..,O,7,0.5000000000,0.0000000000,0.5000000000
OXOOX.X..,OXO.X.X..,X,6,0.6666666667,0.0000000000,0.3333333333
OXO.XOXX.,OXO.XOX..,O,7,1.0000000000,0.0000000000,0.0000000000
OXO.XOXOX,OXO.XOX.X,X,8,0.0000000000,0.0000000000,1.0000000000
OXO.XOX.X,OXO.XOX..,O,7,0.5000000000,0.0000000000,0.5000000000
OXO.XOX..,OXO.X.X..,X,6,0.5000000000,0.1666666667,0.3333333333
OXO.XXXOO,OXO.XXXO.,X,8,1.0000000000,0.0000000000,0.0000000000
OXO.XXXO.,OXO.X.XO.,O,7,0.5000000000,0.0000000000,0.5000000000
OXO.X.XOX,OXO.X.XO.,O,7,0.0000000000,0.0000000000,1.0000000000
OXO.X.XO.,OXO.X.X..,X,6,0.3333333333,0.0000000000,0.6666666667
OXO.XXX.O,OXO.X.X.O,O,7,1.0000000000,0.0000000000,0.0000000000
OXO.X.XXO,OXO.X.X.O,O,7,1.0000000000,0.0000000000,0.0000000000
OXO.X.X.O,OXO.X.X..,X,6,0.8333333333,0.1666666667,0.0000000000
OXO.X.X..,OXO...X..,O,5,0.5833333333,0.0833333333,0.3333333333
OXOOOXXXX,OXOOOXXX.,O,9,1.0000000000,0.0000000000,0.0000000000
OXOOOXXX.,OXOO.XXX.,X,8,1.0000000000,0.0000000000,0.0000000000
OXOO.XXXO,OXOO.XXX.,X,8,1.0000000000,0.0000000000,0.0000000000
OXOO.XXX.,OXOO.XX..,O,7,1.0000000000,0.0000000000,0.0000000000
OXOOOXX.X,OXOO.XX.X,X,8,1.0000000000,0.0000000000,0.0000000000
OXOO.XXOX,OXOO.XX.X,X,8,0.0000000000,0.0000000000,1.0000000000
OXOO.XX.X,OXOO.XX..,O,7,0.5000000000,0.0000000000,0.5000000000
OXOO.XX..,OXO..XX..,X,6,0.6666666667,0.0000000000,0.3333333333
OXO.OXXXO,OXO.OXXX.,X,8,0.0000000000,1.0000000000,0.0000000000
OXO.OXXX.,OXO.OXX..,O,7,0.5000000000,0.5000000000,0.0000000000
OXO.OXXOX,OXO.OXX.X,X,8,0.0000000000,0.0000000000,1.0000000000
OXO.OXX.X,OXO.OXX..,O,7,0.5000000000,0.0000000000,0.5000000000
OXO.OXX..,OXO..XX..,X,6,0.3333333333,0.3333333333,0.3333333333
OXO..XXOX,OXO..XXO.,O,7,0.0000000000,0.0000000000,1.0000000000
OXO..XXO.,OXO..XX..,X,6,0.3333333333,0.0000000000,0.6666666667
OXO..XXXO,OXO..XX.O,O,7,0.5000000000,0.5000000000,0.0000000000
OXO..XX.O,OXO..XX..,X,6,0.6666666667,0.3333333333,0.0000000000
OXO..XX..,OXO...X..,O,5,0.5000000000,0.1666666667,0.3333333333
OXOO..XXX,OXOO..XX.,O,7,1.0000000000,0.0000000000,0.0000000000
OXOO..XX.,OXO...XX.,X,6,1.0000000000,0.0000000000,0.0000000000
OXO.O.XXX,OXO.O.XX.,O,7,1.0000000000,0.0000000000,0.0000000000
OXO.O.XX.,OXO...XX.,X,6,0.6666666667,0.3333333333,0.0000000000
OXO..OXXX,OXO..OXX.,O,7,1.0000000000,0.0000000000,0.0000000000
OXO..OXX.,OXO...XX.,X,6,0.8333333333,0.1666666667,0.0000000000
OXO...XXO,OXO...XX.,X,6,0.5000000000,0.5000000000,0.0000000000
OXO...XX.,OXO...X..,O,5,0.7500000000,0.2500000000,0.0000000000
OXOO..X.X,OXO...X.X,X,6,0.6666666667,0.0000000000,0.3333333333
OXO.O.X.X,OXO...X.X,X,6,0.6666666667,0.0000000000,0.3333333333
OXO..OX.X,OXO...X.X,X,6,0.6666666667,0.0000000000,0.3333333333
OXO...XOX,OXO...X.X,X,6,0.0000000000,0.0000000000,1.0000000000
OXO...X.X,OXO...X..,O,5,0.5000000000,0.0000000000,0.5000000000
OXO...X..,OX....X..,X,4,0.5333333333,0.1666666667,0.3000000000
OXXOOXXOX,OXXOOXXO.,O,9,1.0000000000,0.0000000000,0.0000000000
OXXOOXXO.,OXXOOXX..,X,8,1.0000000000,0.0000000000,0.0000000000
OXXOOXX.O,OXXOOXX..,X,8,0.0000000000,1.0000000000,0.0000000000
OXXOOXX..,OXXOO.X..,O,7,0.5000000000,0.5000000000,0.0000000000
OXXOOOXX.,OXXOO.XX.,X,8,0.0000000000,1.0000000000,0.0000000000
OXXOO.XXO,OXXOO.XX.,X,8,0.0000000000,1.0000000000,0.0000000000
OXXOO.XX.,OXXOO.X..,O,7,0.0000000000,1.0000000000,0.0000000000
OXXOOOX.X,OXXOO.X.X,X,8,0.0000000000,1.0000000000,0.0000000000
OXXOO.XOX,OXXOO.X.X,X,8,1.0000000000,0.0000000000,0.0000000000
OXXOO.X.X,OXXOO.X..,O,7,0.5000000000,0.5000000000,0.0000000000
OXXOO.X..,OXXO..X..,X,6,0.3333333333,0.6666666667,0.0000000000
OXXOXOX..,OXXO.OX..,O,7,1.0000000000,0.0000000000,0.0000000000
OXXOXOXXO,OXXO.OXXO,O,9,1.0000000000,0.0000000000,0.0000000000
OXXO.OXXO,OXXO.OXX.,X,8,1.0000000000,0.0000000000,0.0000000000
OXXO.OXX.,OXXO.OX..,O,7,0.5000000000,0.5000000000,0.0000000000
OXXOXOXOX,OXXO.OXOX,O,9,1.0000000000,0.0000000000,0.0000000000
OXXO.OXOX,OXXO.OX.X,X,8,1.0000000000,0.0000000000,0.0000000000
OXXO.OX.X,OXXO.OX..,O,7,0.5000000000,0.5000000000,0.0000000000
OXXO.OX..,OXXO..X..,X,6,0.6666666667,0.3333333333,0.0000000000
OXXOX.XO.,OXXO..XO.,O,7,1.0000000000,0.0000000000,0.0000000000
OXXOXXXOO,OXXO.XXOO,O,9,1.0000000000,0.0000000000,0.0000000000
OXXO.XXOO,OXXO.XXO.,X,8,1.0000000000,0.0000000000,0.0000000000
OXXO.XXO.,OXXO..XO.,O,7,1.0000000000,0.0000000000,0.0000000000
OXXO..XOX,OXXO..XO.,O,7,1.0000000000,0.0000000000,0.0000000000
OXXO..XO.,OXXO..X..,X,6,1.0000000000,0.0000000000,0.0000000000
OXXOX.X.O,OXXO..X.O,O,7,1.0000000000,0.0000000000,0.0000000000
OXXO.XX.O,OXXO..X.O,O,7,0.5000000000,0.5000000000,0.0000000000
OXXO..XXO,OXXO..X.O,O,7,0.5000000000,0.5000000000,0.0000000000
OXXO..X.O,OXXO..X..,X,6,0.6666666667,0.3333333333,0.0000000000
OXXO..X..,OX.O..X..,O,5,0.6666666667,0.3333333333,0.0000000000
OX.OXOXX.,OX.OXOX..,O,7,1.0000000000,0.0000000000,0.0000000000
OX.OXOXOX,OX.OXOX.X,X,8,1.0000000000,0.0000000000,0.0000000000
OX.OXOX.X,OX.OXOX..,O,7,1.0000000000,0.0000000000,0.0000000000
OX.OXOX..,OX.OX.X..,X,6,1.0000000000,0.0000000000,0.0000000000
OX.OXXXOO,OX.OXXXO.,X,8,1.0000000000,0.0000000000,0.0000000000
OX.OXXXO.,OX.OX.XO.,O,7,0.5000000000,0.0000000000,0.5000000000
OX.OX.XOX,OX.OX.XO.,O,7,0.5000000000,0.0000000000,0.5000000000
OX.OX.XO.,OX.OX.X..,X,6,0.6666666667,0.0000000000,0.3333333333
OX.OXXX.O,OX.OX.X.O,O,7,1.0000000000,0.0000000000,0.0000000000
OX.OX.XXO,OX.OX.X.O,O,7,1.0000000000,0.0000000000,0.0000000000
OX.OX.X.O,OX.OX.X..,X,6,1.0000000000,0.0000000000,0.0000000000
OX.OX.X..,OX.O..X..,O,5,0.8333333333,0.0000000000,0.1666666667
OX.OOXXXO,OX.OOXXX.,X,8,0.0000000000,1.0000000000,0.0000000000
OX.OOXXX.,OX.OOXX..,O,7,0.5000000000,0.5000000000,0.0000000000
OX.OOXXOX,OX.OOXX.X,X,8,1.0000000000,0.0000000000,0.0000000000
OX.OOXX.X,OX.OOXX..,O,7,1.0000000000,0.0000000000,0.0000000000
OX.OOXX..,OX.O.XX..,X,6,0.6666666667,0.3333333333,0.0000000000
OX.O.XXOX,OX.O.XXO.,O,7,0.5000000000,0.0000000000,0.5000000000
OX.O.XXO.,OX.O.XX..,X,6,0.6666666667,0.0000000000,0.3333333333
OX.O.XXXO,OX.O.XX.O,O,7,0.5000000000,0.5000000000,0.0000000000
OX.O.XX.O,OX.O.XX..,X,6,0.6666666667,0.3333333333,0.0000000000
OX.O.XX..,OX.O..X..,O,5,0.6666666667,0.1666666667,0.1666666667
OX.OO.XXX,OX.OO.XX.,O,7,1.0000000000,0.0000000000,0.0000000000
OX.OO.XX.,OX.O..XX.,X,6,0.5000000000,0.5000000000,0.0000000000
OX.O.OXXX,OX.O.OXX.,O,7,1.0000000000,0.0000000000,0.0000000000
OX.O.OXX.,OX.O..XX.,X,6,0.8333333333,0.1666666667,0.0000000000
OX.O..XXO,OX.O..XX.,X,6,0.6666666667,0.3333333333,0.0000000000
OX.O..XX.,OX.O..X..,O,5,0.7500000000,0.2500000000,0.0000000000
OX.OO.X.X,OX.O..X.X,X,6,0.8333333333,0.1666666667,0.0000000000
OX.O.OX.X,OX.O..X.X,X,6,0.8333333333,0.1666666667,0.0000000000
OX.O..XOX,OX.O..X.X,X,6,0.6666666667,0.0000000000,0.3333333333
OX.O..X.X,OX.O..X..,O,5,0.7500000000,0.0833333333,0.1666666667
OX.O..X..,OX....X..,X,4,0.7333333333,0.1666666667,0.1000000000
OXXXOOXOX,OXXXOOXO.,O,9,0.0000000000,0.0000000000,1.0000000000
OXXXOOXO.,OXXXOOX..,X,8,0.0000000000,0.0000000000,1.0000000000
OXXXOOX.O,OXXXOOX..,X,8,0.0000000000,1.0000000000,0.0000000000
OXXXOOX..,OXX.OOX..,O,7,0.0000000000,0.5000000000,0.5000000000
OXX.OOXXO,OXX.OOXX.,X,8,0.0000000000,1.0000000000,0.0000000000
OXX.OOXX.,OXX.OOX..,O,7,0.0000000000,1.0000000000,0.0000000000
OXX.OOXOX,OXX.OOX.X,X,8,0.0000000000,0.0000000000,1.0000000000
OXX.OOX.X,OXX.OOX..,O,7,0.0000000000,0.5000000000,0.5000000000
OXX.OOX..,OXX.O.X..,X,6,0.0000000000,0.6666666667,0.3333333333
OXXXO.XOO,OXXXO.XO.,X,8,0.0000000000,1.0000000000,0.0000000000
OXXXO.XO.,OXX.O.XO.,O,7,0.0000000000,0.5000000000,0.5000000000
OXX.OXXOO,OXX.OXXO.,X,8,0.0000000000,1.0000000000,0.0000000000
OXX.OXXO.,OXX.O.XO.,O,7,0.5000000000,0.5000000000,0.0000000000
OXX.O.XOX,OXX.O.XO.,O,7,0.5000000000,0.0000000000,0.5000000000
OXX.O.XO.,OXX.O.X..,X,6,0.3333333333,0.3333333333,0.3333333333
OXX.O.X.O,OXX.O.X..,X,6,0.0000000000,1.0000000000,0.0000000000
OXX.O.X..,OX..O.X..,O,5,0.1666666667,0.6666666667,0.1666666667
OX.XOOXXO,OX.XOOXX.,X,8,0.0000000000,1.0000000000,0.0000000000
OX.XOOXX.,OX.XOOX..,O,7,0.5000000000,0.5000000000,0.0000000000
OX.XOOXOX,OX.XOOX.X,X,8,0.0000000000,0.0000000000,1.0000000000
OX.XOOX.X,OX.XOOX..,O,7,0.5000000000,0.0000000000,0.5000000000
OX.XOOX..,OX.XO.X..,X,6,0.3333333333,0.3333333333,0.3333333333
OX.XOXXOO,OX.XOXXO.,X,8,0.0000000000,1.0000000000,0.0000000000
OX.XOXXO.,OX.XO.XO.,O,7,0.0000000000,0.5000000000,0.5000000000
OX.XO.XOX,OX.XO.XO.,O,7,0.0000000000,0.0000000000,1.0000000000
OX.XO.XO.,OX.XO.X..,X,6,0.0000000000,0.3333333333,0.6666666667
OX.XO.X.O,OX.XO.X..,X,6,0.0000000000,1.0000000000,0.0000000000
OX.XO.X..,OX..O.X..,O,5,0.1666666667,0.5000000000,0.3333333333
OX..OXXOX,OX..OXXO.,O,7,0.5000000000,0.0000000000,0.5000000000
OX..OXXO.,OX..OXX..,X,6,0.3333333333,0.3333333333,0.3333333333
OX..OXX.O,OX..OXX..,X,6,0.0000000000,1.0000000000,0.0000000000
OX..OXX..,OX..O.X..,O,5,0.3333333333,0.5000000000,0.1666666667
OX..OOXXX,OX..OOXX.,O,7,1.0000000000,0.0000000000,0.0000000000
OX..OOXX.,OX..O.XX.,X,6,0.5000000000,0.5000000000,0.0000000000
OX..O.XXO,OX..O.XX.,X,6,0.0000000000,1.0000000000,0.0000000000
OX..O.XX.,OX..O.X..,O,5,0.4166666667,0.5833333333,0.0000000000
